,DATE,BASEL_pleasant_weather,BELGRADE_pleasant_weather,BUDAPEST_pleasant_weather,DEBILT_pleasant_weather,DUSSELDORF_pleasant_weather,HEATHROW_pleasant_weather,KASSEL_pleasant_weather,LJUBLJANA_pleasant_weather,MAASTRICHT_pleasant_weather,MADRID_pleasant_weather,MUNCHENB_pleasant_weather,OSLO_pleasant_weather,SONNBLICK_pleasant_weather,STOCKHOLM_pleasant_weather,VALENTIA_pleasant_weather
18374,2010-04-22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18375,2010-04-23,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
18376,2010-04-24,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0
18377,2010-04-25,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0
18378,2010-04-26,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0
18379,2010-04-27,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0
18380,2010-04-28,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0
18381,2010-04-29,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0
18382,2010-04-30,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0
18383,2010-05-01,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0
18384,2010-05-02,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
18385,2010-05-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18386,2010-05-04,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18387,2010-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18388,2010-05-06,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18389,2010-05-07,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18390,2010-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18391,2010-05-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18392,2010-05-10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18393,2010-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18394,2010-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18395,2010-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18396,2010-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18397,2010-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18398,2010-05-16,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
18399,2010-05-17,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
18400,2010-05-18,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
18401,2010-05-19,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0
18402,2010-05-20,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0
18403,2010-05-21,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0
18404,2010-05-22,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0
18405,2010-05-23,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0
18406,2010-05-24,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
18407,2010-05-25,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0
18408,2010-05-26,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
18409,2010-05-27,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
18410,2010-05-28,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
18411,2010-05-29,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
18412,2010-05-30,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
18413,2010-05-31,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
